Date,Buyer,Seller,Price,Volume,TradeType
14.02.20 15:48:04,,,174.80,28,AT
14.02.20 15:48:04,,,174.80,229,AT
14.02.20 15:48:04,,,174.80,35,AT
14.02.20 15:47:07,,,174.85,240,AT
14.02.20 15:47:07,,,174.85,664,AT
14.02.20 15:47:02,,,174.85,2,AT
14.02.20 15:46:21,,,174.85,78,AT
14.02.20 15:46:21,,,174.85,66,AT
14.02.20 15:46:21,,,174.85,93,AT
14.02.20 15:46:21,,,174.85,153,AT
14.02.20 15:46:21,,,174.85,31,AT
14.02.20 15:46:21,,,174.85,32,AT
14.02.20 15:45:54,,,174.75,100,AT
14.02.20 15:45:13,,,174.80,1,AT
14.02.20 15:45:13,,,174.80,120,AT
14.02.20 15:45:13,,,174.80,142,AT
14.02.20 15:45:13,,,174.80,295,AT
14.02.20 15:45:13,,,174.80,294,AT
14.02.20 15:45:13,,,174.80,167,AT
14.02.20 15:45:13,,,174.80,51,AT
14.02.20 15:44:12,,,174.75,198,AT
14.02.20 15:44:12,,,174.75,198,AT
14.02.20 15:44:12,,,174.75,198,AT
14.02.20 15:44:12,,,174.75,400,AT
14.02.20 15:44:05,,,174.75,598,AT
14.02.20 15:44:05,,,174.75,4,AT
14.02.20 15:44:03,,,174.75,194,AT
14.02.20 15:44:03,,,174.75,92,AT
14.02.20 15:44:03,,,174.75,32,AT
14.02.20 15:44:03,,,174.75,106,AT
14.02.20 15:44:03,,,174.75,156,AT
14.02.20 15:44:03,,,174.75,164,AT
14.02.20 15:44:03,,,174.75,356,AT
14.02.20 15:41:57,,,174.70,104,AT
14.02.20 15:40:53,,,174.70,128,AT
14.02.20 15:40:53,,,174.70,159,AT
14.02.20 15:40:53,,,174.70,71,AT
14.02.20 15:39:26,,,174.65,427,AT
14.02.20 15:39:15,,,174.60,15,AT
14.02.20 15:39:15,,,174.60,104,AT
14.02.20 15:39:15,,,174.60,93,AT
14.02.20 15:39:15,,,174.60,51,AT
14.02.20 15:39:15,,,174.60,107,AT
14.02.20 15:39:05,,,174.55,185,AT
14.02.20 15:39:05,,,174.55,93,AT
14.02.20 15:37:50,,,174.50,234,AT
14.02.20 15:37:50,,,174.50,158,AT
14.02.20 15:37:50,,,174.50,156,AT
14.02.20 15:37:50,,,174.50,214,AT
14.02.20 15:37:50,,,174.50,292,AT
14.02.20 15:37:50,,,174.50,396,AT
14.02.20 15:37:50,,,174.50,141,AT
14.02.20 15:37:20,,,174.45,50,AT
14.02.20 15:37:07,,,174.45,100,AT
14.02.20 15:36:50,,,174.45,104,AT
